item,title,year,genres,plot
3696,night of the creeps,1986,Comedy|Horror|Sci-Fi|Thriller,"In 1959, on board a spacecraft, two aliens race to keep an experiment from being released by a third member of the crew. The seemingly possessed third alien shoots the canister into space where it crashes to Earth. Nearby, a college man takes his date to a parking spot when they see a falling star and investigate. It lands in the path of an escaped criminally insane mental patient. As his date is attacked by the axe-wielding maniac, the boy finds the canister, from which a small slug-like thing jumps out and into his mouth.
Twenty-seven years later in 1986, Chris Romero pines over a love lost, supported by his disabled friend J.C. During pledge week at Corman University, Chris spots a girl, Cynthia Cronenberg, and falls instantly in love. To get her attention, he decides to join a fraternity. Cynthia's boyfriend, who heads the Beta Epsilon fraternity, tasks them with stealing a cadaver from the university medical center and depositing it on the steps of a sorority house. Chris and J.C. find a frozen corpse in a secret room, but when it grabs them, they flee. The thawed corpse then kills a medical student working at the lab.
Detective Ray Cameron, a haunted cop, is called in to the cryogenics lab break-in, where he discovers one of the bodies – the boy who discovered the alien experiment in 1959 – is now missing, set free by Chris and J.C. The corpse makes its way back to the sorority house where he picked up his date twenty-seven years ago. There, his head splits open and releases more of the slugs. Called to the scene, Det. Cameron finds the body, interpreting the condition of the head as the result of an axe wound in the face.
The next day, the fraternity brothers confront Chris and J.C., who they believe to be responsible for the previous night's incident. They are then taken in for questioning by the police. Based on the testimony of a janitor that witnessed them running out of the university medical center, ""screaming like banshees,"" they confess to breaking in but deny moving the corpse. That night, the dead medical student rises from his slab and runs into the janitor.
Cynthia attempts to convince Chris and J.C. that the attacks are zombie-related, but they are skeptical. When J.C. sees Cynthia leaning on Chris' shoulder, J.C. leaves the two alone and is attacked by the slugs that emerge from the possessed janitor. After Chris walks Cynthia back to the sorority house, he runs into Detective Cameron, who has overheard their conversation. At his house, Detective Cameron explains to Chris that the escaped lunatic's 1959 victim was his ex-girlfriend, and that he secretly hunted down and killed the axe-murderer in revenge. After Detective Cameron reveals that he buried the body under what is now the sorority house, he gets a call that the same axe-wielding lunatic has killed the house mother. Detective Cameron blows off the corpse's head with his shotgun, which releases more slugs.
The next night, while everyone prepares for a formal dance, Chris finds a recorded message that J.C. posthumously left for him. J.C. says that the slugs have incubated in his brain, but he has discovered that they are susceptible to heat. Chris recruits Detective Cameron, who was in the midst of a suicide attempt, and they retrieve a flamethrower from the police armory. They arrive at the sorority house just as Cynthia breaks up with Brad, who has become possessed. After killing him, the Beta fraternity brothers show up, despite having been killed in a bus crash. Cynthia and Chris team up to destroy the outside zombies, and Detective Cameron clears the house.
After they stop the horde, Chris spots more slugs racing toward the basement; Cynthia explains that a member of the sorority had received specimen brains for biology class. In the basement, they find an enormous pile of slugs, and Detective Cameron, tape across his mouth, prepping a can of gasoline. Detective Cameron begins counting down as he splashes gasoline and Chris counts down in sync with him as he and Cynthia race out of the house. As Cameron opens up house's gas valve, several slugs leap to attack him. He flicks his lighter and the house goes up in a fiery explosion. Chris and Cynthia share a kiss as they watch the house burn. The movie ends when the dog who caused the bus accident returns and approaches Cynthia. As Cynthia bends down toward it, the dog opens its mouth and a slug jumps out toward her.
Though not shown theatrically upon its original release, the original ending showed Chris and Cynthia standing in front of the burning sorority house, with the camera moving to the street where police cars race towards the burning building. The police cars race by the charred and 'zombified' Cameron who is shuffling down the street, still smoking a cigarette, when he suddenly stops and falls to the ground. His head then bursts open, with the slugs that incubated inside his brain scamper out and slither towards a nearby cemetery, suggesting the slugs have found new hosts to inhabit. Searchlights appear from the night sky, revealing the source to be the spaceship from the beginning of the film, with the aliens intending to retrieve their experiment, proposing a sequel.
This original ending is on the official DVD and Blu-ray release of the film, and can be seen in some television broadcast versions of the film, via Crackle's online streaming service, some US VHS copies, and on bootleg DVD copies.
Zombie Town was marketed in some regions as a sequel, being alternatively titled Night of the Creeps 2: Zombie Town in Germany.[3]"
3697,predator 2,1990,Action|Sci-Fi|Thriller,"In 1997, Los Angeles is suffering from both a heat wave and a turf war between heavily armed Colombian and Jamaican drug cartels. A Predator watches a shootout between the police and Colombians, observing as Lieutenant Michael R. Harrigan charges into the firefight to rescue two wounded officers and drive the Colombians back into their hideout.
The Predator assaults the Colombians, causing a disturbance that prompts Harrigan and his police detectives Leona Cantrell and Danny Archuleta to defy orders and enter the hideout. They find the Colombians have been slaughtered. Harrigan pursues the crazed gang leader onto the roof and shoots him in self-defense, believing him to be attacking Harrigan, when the latter panickedly opens fire at the camouflaged Predator. Harrigan himself catches a glimpse of the alien, but dismisses it as an effect of the extreme heat and his acrophobia. At the station, Harrigan is reprimanded by his superiors for his defiance. He is introduced to Special Agent Peter Keyes, leader of the task force investigating the cartels, and Detective Jerry Lambert, the newest member of Harrigan's team.
Later that evening, several Jamaican cartel members storm the Colombian drug lord's penthouse. After they ritualistically murder him, they are slaughtered by the Predator. Harrigan's team enter the penthouse where they find the Jamaicans' skinned corpses suspended from the rafters, noting the similarity to the earlier Colombian massacre. Keyes arrives and kicks Harrigan's team out. Archuleta later returns to continue investigating. After he finds one of the Predator's speartip weapons in an air conditioning vent, the lurking Predator kills him. Harrigan vows to bring down Danny's killer, believing they are dealing with an assassin. Forensic analysis reveals the speartip is not composed of any known element on the periodic table. Seeking answers, Harrigan meets with Jamaican drug lord King Willie, a voodoo practitioner, in an alley. King Willie tells Harrigan that the killer is supernatural, and that he should prepare himself for battle against him. Harrigan, even more puzzled, leaves before the Predator kills King Willie, taking his head as a trophy. For Harrigan's persistence, the Predator begins to mark him as his ultimate hunting challenge.
Tracing a lead indicating Danny's killer had recently been in a slaughterhouse, Harrigan arranges to meet his team at a warehouse district to investigate. Cantrell and Lambert take the subway to the rendezvous when the Predator, hunting Harrigan's subordinates, suddenly attacks during a standoff between a gang and a group of vigilantes. The Predator kills the gang and multiple vigilantes; Lambert faces off against the Predator and is killed. Cantrell is spared after the Predator's scan of her body reveals that she is pregnant. Arriving on the scene to find numerous armed civilians dead in addition to Lambert, Harrigan chases the fleeing Predator but is intercepted by Keyes' men. Keyes reveals that the killer is an extraterrestrial hunter with infrared vision that uses active camouflage and has been hunting humans for sport throughout armed conflicts, most recently in Central America. Keyes and his team have set a trap in a nearby slaughterhouse, using thermally insulated suits and cryogenic weapons to capture it for study.
When the Predator arrives, the trap is sprung. However, the Predator uses its mask to scan through various electromagnetic wavelengths to identify the light from the team's torches. It easily outmaneuvers and slaughters the men before heavily wounding Keyes. Harrigan then attacks the Predator, badly wounding it before it rallies, destroys his weapon and closes in. Harrigan is saved by the sudden reappearance of Keyes, who tries to incapacitate the alien but is killed by its throwing disc. The Predator chases Harrigan to a roof and the two foes clash, leaving them hanging from a ledge. The alien activates a self-destruct device on its forearm which Harrigan then severs using the throwing disc, rendering the device harmless. The Predator falls through an apartment window, treats its wounds and flees through the building.
Harrigan follows it down an elevator shaft and finds a spacecraft in an underground chamber. Inside the ship, after Harrigan briefly glimpses a trophy room with various skulls (including a Xenomorph), he and the Predator face off in a final duel ending when Harrigan finally kills the Predator using its throwing disc. Several other Predators suddenly appear, collecting their dead comrade, and one of them presents Harrigan with an antique flintlock pistol as a trophy. Harrigan escapes from the ship as it takes off. He reaches the surface just as the remainder of Keyes' team arrives. As Keyes' subordinate Garber curses their lost opportunity to capture the alien, Harrigan privately muses that the creatures will return."
3699,starman,1984,Adventure|Drama|Romance|Sci-Fi,"Launched in 1977, the Voyager 2 space probe carried a gold phonographic disk with a message of peace, inviting alien civilizations to visit Earth. The probe is intercepted by an alien ship which then sends a small scout vessel to establish first contact with Earth. However, instead of greeting the alien craft, the US government shoots it down. Crashing in Chequamegon Bay, Wisconsin, the lone alien occupant, looking like a floating ball of glowing energy, finds the home of recently widowed Jenny Hayden (Karen Allen). While there, the alien uses a lock of hair from her deceased husband, Scott, to clone a new body for himself as a terrified Jenny watches. The alien ""Starman"" (Jeff Bridges) has seven small silver spheres with him which provide energy to perform miraculous feats. He uses the first to send a message to his people stating that Earth is hostile and his spacecraft has been destroyed. He arranges to rendezvous with them in three days' time. He then uses the second sphere to create a holographic map of the United States, coercing Jenny into taking him to the rendezvous point in Arizona.
Jenny is initially both hostile and frightened of him and attempts to escape. Having a rough understanding of English language from the Voyager 2 disk, the Starman learns to communicate with Jenny and assures her that he means no harm. He explains that if he does not reach the rendezvous point, Arizona's Barringer Crater, in three days, he will die. Sympathetic but still wary, Jenny teaches him how to drive a car and use credit cards so he can continue the journey alone, but when she witnesses him miraculously resurrect a dead deer, she is deeply moved and decides to stay with him. However, they are pursued across the country by the authorities and, after nearly being caught, Jenny is shot and critically wounded by a police officer. In order to escape, the Starman crashes their car into a gas tanker and uses another sphere to protect the two of them from the explosion. They take refuge in a mobile home that is being towed. He uses another silver sphere to heal Jenny. After being assured that Jenny will recover, the Starman proceeds to hitchhike towards Arizona without her, but Jenny manages to catch up to him while he and his driver are stopped at a roadblock. Reunited, the two of them hitchhike together, resuming their journey towards the crater.
Later, while stowing away on a boxcar train, the couple makes love. The Starman tells Jenny ""I gave you a baby tonight."" Jenny explains that she is infertile and cannot have children, but he assures her she is now pregnant. He explains that the baby will be the son of her dead husband, because he (Starman) is a clone of Scott, but as a child of Starman as well, their son will possess all of the Starman's knowledge and will grow up to be a teacher. Starman offers to stop the pregnancy if she wishes, but the joyful Jenny embraces him, accepting the gift.
The couple mistakenly travel too far on the train and arrive in Las Vegas. Jenny realizes she has lost her wallet. The Starman uses one of their last quarters in a slot machine, which he manipulates in order to win the $500,000 jackpot. They then buy a new car to complete their journey to Arizona.
Meanwhile, National Security Agency director George Fox learns that the Starman's flight trajectory, prior to being shot down, was to the Barringer Crater. Fox arranges to have the Starman captured by the Army, dead or alive. SETI scientist Mark Shermin, another government official involved in the case, criticizes Fox's heavy-handed approach and reminds him that the Starman was invited to Earth. Appalled to learn that Fox is planning to vivisect the alien, Shermin then resolves to help the Starman escape rather than allow Fox to capture him.
Jenny and the now dying Starman reach the crater as Army helicopters pursue them. Just as they are surrounded, a large, spherical spaceship appears and descends into the crater. Light surrounds the couple, and the Starman is instantly restored to health. As he prepares to leave, he tells Jenny he will never see her again. Jenny begs him to take her with him, but he says she would die on his world. He then gives her his last silver sphere, telling her that their son will know what to do with it. Jenny watches as the ship departs."
3701,alien nation,1988,Crime|Drama|Sci-Fi|Thriller,"The year is 1991; three years since an unidentified flying object bearing 300,000 enslaved aliens, the Newcomers, landed in the Mojave Desert on planet Earth. Los Angeles later becomes their new home.
Matthew Sykes (Caan), a police detective, loses his partner Bill Tuggle (Brown) in a shootout; the detectives had been trying to stop two Newcomer criminals murdering another Newcomer named Porter at a grocery, in what appeared to be a robbery. The next day, Sykes' superior Captain Warner (McCarthy), informs his squad that they will have to work with the newly promoted Newcomer detective Sam Francisco (Patinkin). Although biased, Sykes enlists to work with Francisco to investigate a similar homicide with a Newcomer named Warren Hubely, feeling that if he investigates that crime, he will also find opportunities to investigate his partner's death (which he is officially forbidden to do).
While at a crime lab, trying unobtrusively to establish a connection between the two cases, Francisco detects an abnormality on the body of one of the Newcomer criminals who was killed in the robbery. Later, Sykes and Francisco are led to a nightclub to investigate a link in the killings with a Newcomer named Joshua Strader (Kober). However, they end up interviewing his girlfriend instead, after Strader is murdered by a criminal ring led by Newcomer businessman William Harcourt (Stamp) and his henchman Rudyard Kipling (Howard).
Harcourt is in the latter stages of launching advanced plans to exploit the alien race by attempting to mass-produce and sell a drug called Jabroka. The drug was used in the past to pacify the Newcomers when they were slaves, but has no effect on humans. The abnormality noticed by Francisco on the body of the Newcomer criminal earlier turns out to have been a visual sign of the drug's influence. In addition, the Newcomers Hubley, Porter and Strader were involved in the planning phases of the operation, but were later murdered due to Harcourt's desire to exclude them from any future financial rewards. Ultimately, Sykes and Francisco track down Harcourt, where he is secretly negotiating a timetable for a release of the potent narcotic. The detectives attempt to foil his plans, as they are later led on a car chase with Harcourt and his cohort Kipling through the streets of downtown Los Angeles. Following a head-on collision where both parties are injured, Harcourt attempts an escape on foot. Sykes pursues and corners Harcourt onto a desolate drawbridge. Harcourt then purposely overdoses on a sample of the stimulant.
As Sykes mistakenly believes Harcourt has died, Harcourt is taken away by an ambulance, but later mutates into a significantly larger and more muscular Newcomer intent on causing violence. The duo pursue Harcourt, catching up with him near a fishing pier. Sykes later ends up in a physical confrontation with Harcourt in the open sea. Harcourt dies, as his body disintegrates due to the effects of direct contact with salt water, which is hazardous to Newcomer physiology. Francisco commandeers a police helicopter, and rescues Sykes from the water. With the Tuggle and Newcomer murder cases solved, the authorities dismantle Harcourt's illicit scheme. Later, Sykes and Francisco–now friends–attend Sykes's daughter's wedding together."
3702,mad max,1979,Action|Adventure|Sci-Fi,"""A few years from now"", when society is teetering upon the brink of collapse, berserk motorbike gang member Crawford ""Nightrider"" Montazano steals a Pursuit Special, which he uses to escape from police custody after killing a rookie officer of an Australian highway patrol called the Main Force Patrol (MFP). Even though he manages to elude other MFP officers, the MFP's top pursuit man Max Rockatansky then engages the less-skilled Nightrider in a high-speed chase. Crawford breaks off first, but then is unable to recover his concentration before he and his girlfriend are killed in a fiery crash.
At the MFP garage, Max is shown what one of the MFP mechanics has been working on: a supercharged black Pursuit Special, the last of the V8 Interceptors.
Meanwhile, Nightrider's motorbike gang, led by Toecutter and Bubba Zanetti, run roughshod over a town, vandalising property, stealing fuel, and terrorising the population. They trap a young couple in a car, destroy the car, and it is implied that they rape the couple. Max and fellow officer Jim Goose arrest Toecutter's young protégé Johnny the Boy at the scene. When neither the rape victims nor any of the townspeople show for Johnny's trial, the federal courts close the case, Johnny's attorneys releasing him into Bubba's custody over Goose's furious objections.
While Goose visits a nightclub in the city the next day, Johnny sabotages his police motorbike in the parking lot. After being thrown into a field at high speed uninjured during a ride, Goose borrows a ute to haul his damaged bike back to the MFP. However, Johnny ambushes Goose off the road by throwing a brake drum through his windshield, and, at Toecutter's insistence, throws a match into the wreck of the ute, igniting the gasoline and burning Goose alive. After seeing Goose's charred body in a hospital intensive-care unit, Max becomes disillusioned with the MFP, and informs his superior Fifi Macaffee that he will resign. Fifi convinces Max to take a vacation first before he submits his final letter of resignation.
Max takes his wife Jessie and their infant son Sprog on vacation in a panel van. When they stop to fix the spare tyre, Jessie takes Sprog to buy ice cream. They encounter Toecutter and his gang, who attempt to molest Jessie, but Jessie kicks Toecutter in the crotch, picks up Sprog and escapes with him in the car. They flee to a remote farm owned by an elderly friend named May Swaisey. Toecutter's gang follows them there and ambushes Jessie in the woods. With May's help, Jessie and Sprog escape, but when they try to drive away, the van overheats and they are run over by the gang while trying to escape on foot. Sprog is killed and Jessie is badly injured. Max arrives too late to do anything.
Jessie is near death in a hospital ICU, and the loss of his family ultimately drives Max into a mad rage. He dons his police uniform and takes the black Pursuit Special from the MFP garage to pursue and eliminate the gang. He rams several gang members off a bridge at high speed, kills Bubba during an ambush, and forces Toecutter into the path of a speeding semi-trailer truck. Finally, Max locates Johnny at a car wreck stealing the boots of its dead driver. Max handcuffs Johnny's ankle to the wrecked vehicle, and sets a crude time-delay fuse involving a slow petrol leak and Johnny's lighter. Max throws Johnny a hacksaw, leaving him the choice of sawing through either the handcuffs or his ankle in order to escape within the given time limit. As Max drives away from the bridge, the vehicle explodes. Now a shell of his former self, Max drives on to points unknown."
3704,mad max beyond thunderdome,1985,Action|Adventure|Sci-Fi,"With the world climate altered to a parched nuclear summer, Max Rockatansky crosses the Australian desert in a camel-drawn wagon when he is attacked by a pilot named Jedediah and his son in a Transavia PL-12 Airtruk, stealing his wagon and belongings. Continuing on foot, Max follows their trail to the seedy community of Bartertown. While refused entry at first, Max is brought before the founder and ruler of Bartertown, the ruthless Aunty Entity. She offers to resupply his vehicle and equipment if he completes a task for her.
Aunty explains that Bartertown depends on a crude methane refinery powered by pig feces, which is run by a dwarf called Master and his giant bodyguard Blaster. ""Master Blaster"" holds an uneasy truce with Aunty for control of Bartertown; however, Master has begun to challenge Aunty's leadership. Aunty instructs Max to provoke a confrontation with Blaster in Thunderdome, a gladiatorial arena where conflicts are resolved by a duel to the death. Max enters the refinery to size up Master Blaster and befriends Pig Killer, a convict sentenced to work for slaughtering a pig to feed his family. Max finds his stolen vehicle in Master Blaster's possession, and helps disarm his booby-trapped engine to converse with him. Here he discovers that Blaster is exceptionally strong but extremely sensitive to high-pitched noises.
Max then faces Blaster in the Thunderdome and uses his weakness to gain the upper hand. He refuses to kill him after discovering he is mentally retarded with the intellect of a child. He tells Aunty it was not part of their deal, thus revealing her plot. Master, previously unaware of this arrangement to kill Blaster, is furious and vows to shut down the refinery and, by extension, Bartertown. An enraged Aunty has Blaster executed, Master imprisoned, and Max exiled. He is bound on a horse and sent off in a random direction through the wasteland. When his mount perishes in a sinkhole, Max frees himself and presses on.
Near death, Max is found by a desert dweller named Savannah Nix, who hauls him back to her home, a primitive community of children and teenagers who live in an oasis. The children, survivors of a crashed Boeing 747, were left by their parents who went to find civilization. They believe Max to be the flight captain (Captain G. L. Walker), returned to fix the aeroplane and fly them to civilization. Max denies this and insists that they remain in the relative safety of the oasis, knowing that the only ""civilization"" within reach is Bartertown.
Some of the children, led by Savannah, leave anyway, determined to find the prophesied ""Tomorrow-morrow Land."" Max stops them by force, but another tribe member known as Scrooloose, sets them free during the night and leaves with them. Their leader, Slake M'Thirst, asks Max to go after them, and he agrees, taking a few of the children with him to help. They find Savannah's group in danger but are unable to save one of the children from a sinkhole. With no supplies left, they are forced to head for Bartertown.
The group sneak in via the underground, and, with Pig Killer's help, free Master and escape in a train-truck, destroying Bartertown's methane refinery in the process. Aunty leads the inhabitants in pursuit, catching up to the train. Max's group slows them down while Scrooloose hijacks one of the pursuing vehicles, which happens to be Max's stolen vehicle. The group comes across Jedediah and his son, and Max coerces Jedediah into helping his group escape with their aeroplane. Max uses his vehicle to clear a path through Aunty's men, allowing the aeroplane to take off and escape, leaving him at Aunty's mercy. Aunty spares his life, having come to respect him; she says sardonically, ""Well — ain't we a pair, raggedy man? Goodbye, soldier,"" and departs to presumably make good on her vow to rebuild Bartertown.
Jedediah flies the children to the coast, where they discover the nuclear-devastated ruins of Sydney. Years later, the children have established a small society of themselves and other lost wanderers in the ruins. Savannah, now leader of the group, recites a nightly story of their journey and the man who saved them, as Max, still alive in the desert, wanders on to places unknown."
3705,bird on a wire,1990,Action|Comedy|Romance,"Marianne Graves (Goldie Hawn) is a successful lawyer completing a business deal in in Detroit, Michigan. At a gas station, she crosses paths with a man that looks suspiciously like her ex-fiancé, Rick Jarmin (Mel Gibson), who had disappeared 15 years previously and was presumed dead. The man feigns ignorance and Marianne leaves; he later makes a call saying that he has been recognized and needs to be moved. Rick had helped convict a drug-dealing DEA agent named Eugene Sorenson (David Carradine) and was placed in the witness protection program. Unfortunately, his old handler has retired and his new handler, Joe Weyburn (Stephen Tobolowsky), is a corrupt FBI agent working with Sorenson.
Sorenson is released from prison after serving his sentence; his partner, Albert ""Diggs"" Diggins (Bill Duke), picks him up and they set out to kill Rick for revenge and to smooth the passage of their latest deal with drug dealers. Marianne returns to confront Rick just as Sorenson and Diggs show up at the gas station with guns blazing. During the gunfight, Rick gets buckshot in his buttocks and his kindly old boss is killed. Marianne escapes with Rick, but Sorenson and Diggs pin the boss’ murder on Rick. They are forced to go on the run as Weyburn wipes out Rick’s file and sends police to catch them.
To clear their names, Rick needs to reach his old handler. They use contacts from Rick's former life-in-hiding, including a beauty salon where he was a star employee, and an old flame of a veterinarian that removes the buckshot.
During a night spent in a hotel room, Rick tells Marianne everything that happened 15 years ago and they rekindle their feelings for each other.
They reach the home of his old handler and find out he has Alzheimer's disease, and thus doesn’t remember Rick. Sorenson, Diggs and Weyburn show up, so Rick and Marianne retreat to a nearby zoo where Rick had worked. He releases animals from their cages to assist in their defense, and all three men are killed in various ways by the animals. Wounded, Rick winds up suspended over a tiger in a pit, requiring Marianne to save him. Not quite able to reach him, he offers her the extra incentive of marriage and children, which does the trick. They are then seen boating into the sunset in the Caribbean."
3706,angel heart,1987,Film-Noir|Horror|Mystery|Thriller,"In 1955, Harry Angel, a New York City private investigator, is hired by Louis Cyphre to track down Jonathan Liebling, a crooner known professionally as ""Johnny Favorite"", whom Cyphre had helped become successful. Cyphre stands to benefit from unspecified collateral on Johnny's death and suspects that a private upstate hospital, where the war invalid Favorite was receiving psychiatric treatment for shell shock, is issuing false reports. Harry goes to the hospital and discovers that a backdated transfer record has recently been added by a drug addicted physician named Albert Fowler.
After Harry breaks into his home, Albert admits that 12 years ago he was bribed by a man and woman to allow Johnny to leave while maintaining the fiction that he was still a patient at the hospital. Believing that Albert is still withholding information, Harry locks him in his bedroom without access to his drugs to pressure the doctor info revealing more. Hours later, he finds the doctor murdered. Unnerved, Harry tells Cyphre that he no longer wants the job, but agrees to continue after Cyphre offers him $5,000.
He soon discovers that Johnny had a wealthy fiancée named Margaret Krusemark. He also begun a secret love affair with a woman named Evangeline Proudfoot. Angel travels to New Orleans and meets with Margaret, who divulges little information, telling him that Favorite is dead. Harry then discovers that Evangeline is also dead, but is survived by her 17-year-old daughter, Epiphany Proudfoot, who was conceived during her mother's love affair with Johnny.
When Epiphany is reluctant to speak, Harry tracks down Toots Sweet, a blues guitarist and former bandmate of Johnny. After Harry uses force to try to extract details of Johnny's last-known whereabouts, Toots refers him back to Margaret. The following morning, police detectives inform Harry that Toots has been murdered. Harry returns to Margaret's home, where he finds her murdered, her heart removed with a ceremonial knife.
Harry is later attacked by enforcers of Ethan Krusemark—a powerful Louisiana patriarch and Margaret's father—who tell him to leave town. Harry returns to his hotel and finds Epiphany on his doorstep. He invites her into his room, where they have aggressive sexual intercourse, during which Harry has visions of blood dripping from the ceiling and splashing around the room. He later confronts Krusemark in a gumbo hut, where the latter reveals that he and Margaret were the ones who helped Johnny leave the hospital. He also explains that Johnny was actually a powerful magician who sold his soul to Satan in exchange for stardom, but then sought to renege on the bargain.
In 1943, Johnny kidnapped a young soldier and performed a Satanic ritual on the boy, murdering him and eating his still-beating heart in order to assume his identity and hide from the Devil. Johnny was supposed to drop out and resurface as the soldier he murdered, but was unexpectedly drafted into the war, injured, then sent home with amnesia. Hoping to jar his memory, the Krusemarks took Johnny from the hospital and released him into Times Square, never to be seen again. Harry has a panic attack and runs into the bathroom. He returns to find Krusemark drowned in a cauldron of boiling gumbo.
Harry goes to Margaret's home, where he finds a vase containing a clue to Johnny's true identity: a set of dog tags with Harry's name stamped on them. Harry is in fact Johnny. Cyphre then appears, and Angel deduces that ""Louis Cyphre"" is a homophone for Lucifer. Cyphre confirms that he is the Devil and proclaims that he can at long last claim what is his: Johnny's immortal soul. In a fugue state that Cyphre induces, it is revealed that Harry/Johnny has murdered Albert, Toots, the Margaret, and Epiphany.
A frantic Harry/Johnny returns to his hotel room, where the police have found Epiphany raped, brutally murdered and wearing Angel's dog tags. When Harry/Johnny reveals that Epiphany was his daughter, a detective tells him that he will ""burn"" for what he has done to her, to which Angel/Favorite replies, ""I know. In Hell."". Harry/Johnny is seen standing inside an iron Otis elevator which is descending. It soon stops, with an immobile Harry/Johnny inside. As the screen fades to black, Cyphre can be heard whispering, ""Harry"" and ""Johnny"", announcing his dominion over both their shared souls.[3]"
3708,firestarter,1984,Horror|Thriller,"Andy McGee (Keith) met his future wife, Vicky Tomlinson (Heather Locklear), in college while they were earning money by participating in an experiment in which they were given a dose of a low-grade hallucinogen called LOT-6. The experiment grants them telepathic abilities; Vicky has the ability to read minds, and Andy can take over minds and make others do and believe what he wants, but the effort gives him nosebleeds (the novel revealing them to be ""pinprick"" hemorrhages). Andy and Vicky went on to get married, and they now have a nine-year-old daughter named Charlene ""Charlie"" McGee (Barrymore), who has pyrokinetic abilities (she can create heat and start fires with her mind). Charlie can also see the near future.
Andy comes home from work one day to find that Vicky has been murdered and Charlie abducted; the family had already suspected that the government agency that sponsored the experiment, the Department of Scientific Intelligence (""the Shop""), was checking on them. The government wants Charlie to harness her powerful ability as a weapon. Andy rescues Charlie from abduction by agents of the Shop by making the agents blind, and for the next year, they are on the run.
To protect themselves, Andy writes letters to major newspapers, but mailing them reveals their location. They need to rest and end up taken in by a farmer and his wife. Andy tells the farmer the truth so when the Shop arrives, he is ready to stand with them. However, he soon sees that there is no need since Charlie makes quick work of the agents who have invaded the quiet refuge they have found. They again are on the run, but Andy is weak from the use of his gift. They go to their secluded cabin to rest and prepare to finally go public with their story. Unfortunately, the head of the Shop, Captain Hollister (Sheen), sends Agent John Rainbird (Scott) to capture them and stop the release of information. After capture, father and daughter are kept separated. Andy is medicated and subjected to tests, which show his powers have decreased. Meanwhile, Rainbird takes on the role of ""John the friendly orderly"" to befriend Charlie and gain her trust to encourage her to submit to the tests.
Charlie's powers increase exponentially, and she continually demands to see her father as they promised. Andy is revealed to be faking the acceptance of his drugs, meaning that his powers have never decreased and it was all a ruse to make Hollister drop his guard. Then, once alone on a walk far from the house, he uses his power to get information from Hollister (such as John's true identity) and arranges to leave with Charlie that night. He slips Charlie a note and she immediately tells ""John"" about the escape. He has wanted to kill Charlie since first hearing about her and hides in the barn so he can kill her father, as well. Charlie enters the barn first and ""John"" succeeds in convincing her to begin the climb up the ladder to him. His plan is put to an end once Andy enters and Charlie instead runs to her father. She tells him that John is present and asks if they can take him with them. She is saddened and angered to find out the truth, yet believes John when he states that he will not kill her father if she comes to him. To save his daughter, Andy instructs Hollister to shoot at Rainbird. However, Rainbird kills Hollister and fatally wounds Andy, and after, he causes Rainbird to leap to the ground, breaking his leg. Charlie then kills Rainbird and cries at her father's wound. He pleads with her to use her powers to bring the facility down after he takes his last breath. The entire security team arrives and she dispatches them all one by one to make her way off of the property.
Charlie returns by hitchhiking back to the farm. Without a word, she reveals what has happened since she left with her father and is welcomed back. Shortly afterwards, Charlie and the farmer head to New York City to tell her story to the media."
3709,sleepwalkers,1992,Horror,"Charles Brady and his mother, Mary, are Sleepwalkers—nomadic, shapeshifting energy vampires, who feed off the lifeforce of virgin women. Though they normally maintain a human form, they can transform (partially or fully) into human-sized bipedal werecats (presumably their natural form) at will. They are considerably more resilient than humans and have powers of both telekinesis and illusion. Their one weakness is cats, who are not only able to see through their illusions, but whose claws are capable of inflicting severe to fatal wounds upon them. It is revealed that they also maintain an incestuous relationship.
Charles and Mary have taken up residence in a small Indiana town, having recently fled Bodega Bay, California (where they used the aliases Martha and Carl Brodie) after draining and killing a young girl there. Charles attends the local high school, and there he meets Tanya Robertson in his creative writing class. Charles feigns romantic interest in Tanya in order to take her lifeforce for both himself and his mother, who is starving.
Tanya does not suspect the real reason Charles is interested in her. At first, it seems that Charles has genuinely fallen in love with Tanya (to the dismay of his jealous mother). On their first date, at a picnic at the nearby cemetery, Charles attempts to drain her lifeforce while kissing her. Tanya tries frantically to ward off Charles by bashing his head with her camera, scratching his face, and ultimately plunging a corkscrew into his left eye; though nothing she does seems to cause Charles more than temporary discomfort.
As this happens, Deputy Sheriff Andy Simpson (who had earlier tried to pull Charles over for speeding and seemingly trying to run down a young school girl while passing a stopped school bus) drives by the cemetery and notices Charles’ (now undisguised) car. When Tanya flees to him for help, Charles attacks Simpson and kills him. When Charles then turns to resume feeding off of Tanya, the deputy’s cat, Clovis, rises to the occasion and violently scratches him in the face and chest. Mortally wounded, Charles staggers back home to his mother who is able to make both of them ""dim"", i.e. turn themselves invisible, and thus keep Charles from being arrested when the police storm their house. Ominously, a small number of cats begin to gather outside their house.
Knowing that the only way for her dying son to survive is to feed, Mary attacks the Robertson household, killing several deputies and state troopers and severely wounding Tanya’s parents. She kidnaps Tanya and takes her back to her house. Charles is near death, but Mary revives him, and Charles makes a final attempt to drain Tanya’s life force. However, Tanya plunges her fingers into his eyes, killing him. Tanya manages to escape with the help of the sheriff who is later impaled by Mary on the picket fence surrounding the house. The now large number of cats that have been gathering around their house throughout the movie, led by Clovis, all jump on Mary and claw her in a violent attack until she bursts into flames. As she dies, she screams that Tanya ""killed her only son"". The movie ends with Mary lying ablaze on her driveway and Tanya hugging Clovis, as her savior.[1]"
